lat,lon,Total_Crimes,Summer,Winter,Spring
41.89103728,-87.61834388,29,6,3,11
41.89103955,-87.61826673,1,0,1,0
41.89103987,-87.6325646,6,1,1,0
41.89104581,-87.6179508,6,3,1,1
41.89106117,-87.63110997,1,0,0,0
41.89106211,-87.61704346,25,16,1,7
41.89106408,-87.61691857,3,0,0,3
41.89106618,-87.61681571,4,2,1,1
41.89106638,-87.63556492,1,0,0,0
41.8910671,-87.62804686,3,1,1,0
41.89107041,-87.61661366,13,4,2,5
41.89107235,-87.61648509,4,2,0,0
41.89107429,-87.61635653,7,2,3,2
41.89107555,-87.63256421,1,0,1,0
41.89107687,-87.61633079,4,0,0,4
41.891079,-87.6162316,5,0,2,3
41.89108046,-87.61602591,1,0,0,0
41.89108738,-87.6340552,1,0,1,0
41.89110311,-87.61482101,5,1,2,1
41.89110427,-87.62963306,1,0,0,0
41.89111367,-87.62535792,1,1,0,0
41.89112033,-87.63405851,3,0,0,2
41.89113254,-87.63111286,1,1,0,0
41.89113357,-87.62413468,24,5,7,6
41.89113572,-87.62804978,15,4,4,6
41.89114934,-87.62535752,1,1,0,0
41.89114966,-87.63256707,1,0,0,1
41.89116226,-87.63961488,7,1,2,3
41.89116519,-87.63556751,2,0,1,0
41.8911729,-87.62963598,1,0,0,0
41.89118535,-87.63257035,2,2,0,0
41.89119945,-87.62413763,40,9,8,8
41.89120267,-87.62022614,2,0,1,0
41.89123453,-87.62805236,1,0,0,0
41.89124383,-87.62022568,13,2,4,5
41.89124992,-87.61767674,2,0,1,1
41.89125207,-87.63406075,1,0,1,0
41.89127445,-87.62963854,1,0,1,0
41.89128077,-87.63111858,7,1,1,2
41.89129467,-87.63972731,1,1,0,0
41.89130316,-87.62805528,14,8,0,3
41.89130879,-87.61435961,30,5,7,5
41.89131578,-87.61767601,6,3,0,3
41.89131644,-87.63111819,1,1,0,0
41.89132763,-87.61517842,5,0,3,0
41.89134419,-87.63702731,2,0,0,2
41.89135211,-87.6311178,6,1,2,1
41.89135235,-87.61518182,12,6,2,3
41.89135524,-87.62670682,1,0,0,0
41.89136552,-87.63556901,1,0,1,0
41.89136904,-87.62805823,1,1,0,0
41.891376,-87.6296411,3,0,1,1
41.89139532,-87.64140099,1,0,0,1
41.89140463,-87.6253694,5,0,0,2
41.89140473,-87.62806151,55,11,14,16
41.89140816,-87.64125394,1,0,0,0
41.89141459,-87.61767858,1,0,0,1
41.89142112,-87.62670976,1,1,0,0
41.89143867,-87.64085328,1,1,0,0
41.89144754,-87.61768188,11,2,2,5
41.89145368,-87.64061072,1,0,0,0
41.89146573,-87.62415304,27,5,6,7
41.89147061,-87.62806446,3,0,1,2
41.891476,-87.62537228,4,3,0,0
41.89148415,-87.64020271,1,0,1,0
41.891487,-87.62671271,3,1,1,0
41.89151429,-87.63928787,2,1,1,0
41.89151441,-87.63930624,1,0,0,0
41.89153161,-87.62415599,2,0,0,0
41.89153298,-87.63784061,17,7,3,6
41.89153903,-87.63748062,1,0,1,0
41.89153919,-87.63750632,1,0,0,0
41.89153934,-87.63753203,1,0,0,1
41.89155004,-87.63658068,1,0,0,1
41.89155372,-87.63628314,1,1,0,0
41.89155397,-87.63632354,1,1,0,0
41.89155712,-87.63593787,4,1,1,1
41.89157802,-87.63486153,1,0,0,1
41.89157962,-87.6346742,4,1,1,1
41.89158134,-87.63450523,1,0,0,1
41.89158154,-87.63453829,6,0,0,4
41.89158372,-87.63444644,14,2,2,6
41.89159776,-87.63314614,1,0,1,0
41.89161301,-87.63204782,1,0,0,0
41.89161326,-87.63208822,1,0,1,0
41.89161744,-87.63187515,1,1,0,0
41.8916194,-87.63174659,2,0,0,2
41.89162058,-87.63148948,2,1,0,1
41.89163768,-87.6302479,2,0,0,0
41.89163799,-87.63029932,1,0,1,0
41.89163831,-87.63035073,1,0,1,0
41.89164013,-87.63020013,1,0,0,0
41.89164029,-87.63022584,1,0,0,1
41.89164209,-87.63007156,1,0,0,1
41.89165081,-87.62925612,2,0,0,1
41.89165279,-87.62913122,2,0,1,1
41.89165848,-87.62871614,1,1,0,0
41.89165872,-87.62875654,2,1,0,1
41.89165897,-87.62879693,2,0,1,1
41.89166018,-87.62854717,2,0,1,0
41.89166243,-87.62846635,5,1,4,0
41.89167877,-87.62755165,34,9,7,1
41.89167987,-87.62773161,2,0,0,1
41.8916867,-87.62705575,2,1,0,0
41.89169039,-87.62631748,9,5,3,1
41.8916925,-87.62621462,1,0,0,0
41.89169252,-87.62621829,1,0,0,0
41.89169288,-87.62627706,6,2,0,1
41.89169458,-87.62610809,4,1,3,0
41.89169488,-87.62615583,220,59,36,57
41.89169903,-87.62593909,1,1,0,0
41.89171836,-87.62506844,1,1,0,0
41.89173066,-87.62483692,1,0,0,1
41.89173109,-87.62446229,1,1,0,0
41.89173215,-87.62374609,1,0,1,0
41.89173229,-87.62376813,1,1,0,0
41.89174678,-87.62344844,1,1,0,0
41.89174692,-87.62347048,2,0,1,1
41.89174925,-87.62340434,6,2,1,0
41.89175312,-87.63703389,1,1,0,0
41.89176473,-87.62235743,5,1,0,1
41.89176885,-87.62213702,5,0,1,4
41.89177105,-87.62204885,1,1,0,0
41.89177325,-87.62196068,2,1,1,0
41.89177352,-87.62200475,1,0,0,0
41.89177488,-87.6217807,1,1,0,0
41.89177515,-87.62182477,1,1,0,0
41.89177545,-87.62187251,2,1,1,0
41.89178095,-87.63258588,8,3,2,2
41.89178708,-87.62109376,3,1,2,0
41.89179148,-87.62091742,13,3,6,0
41.8918046,-87.64010008,2,0,1,0
41.89180922,-87.63407304,2,0,1,1
41.89183356,-87.6184158,1,1,0,0
41.89183619,-87.61839741,1,0,0,1
41.89184428,-87.61793455,2,1,0,0
41.89185911,-87.62966151,1,0,0,1
41.89186188,-87.6167958,1,1,0,0
41.89186413,-87.63407611,2,1,0,0
41.89186517,-87.61644318,1,0,0,0
41.89186542,-87.61648357,1,0,0,0
41.8918697,-87.61628887,1,1,0,0
41.89187009,-87.62966139,1,1,0,0
41.89187122,-87.6160942,3,2,0,1
41.8918791,-87.63113407,4,1,1,0
41.89188882,-87.63407584,1,1,0,0
41.89189329,-87.6280745,10,4,4,1
41.8918998,-87.63407572,3,2,0,1
41.89190448,-87.63259187,1,0,0,1
41.89190676,-87.61431618,1,0,0,1
41.89191078,-87.6340756,2,2,0,0
41.89191244,-87.62672638,4,2,1,0
41.891914,-87.6296609,6,2,1,2
41.89191524,-87.62807426,2,1,1,0
41.8919227,-87.63558498,1,1,0,0
41.89192344,-87.62672994,1,0,0,0
41.89192497,-87.62966078,9,2,2,3
41.89192621,-87.62807414,3,0,1,1
41.89193719,-87.62807402,10,4,1,2
41.89194468,-87.63558841,1,0,0,1
41.89194695,-87.62966422,4,0,0,2
41.89194817,-87.62807389,28,8,9,9
41.89195637,-87.62672957,1,0,0,1
41.89195792,-87.6296641,1,0,0,0
41.89195975,-87.62416227,1,1,0,0
41.89196734,-87.62672945,1,0,0,0
41.8919689,-87.62966397,1,0,0,1
41.89197075,-87.62416582,1,0,0,0
41.89197987,-87.62966385,1,0,0,0
41.89198447,-87.62416567,33,14,3,7
41.89199545,-87.62416555,2,0,0,1
41.8920029,-87.62537381,3,1,1,1
41.89200307,-87.62807696,32,10,10,5
41.89200642,-87.62416543,4,0,1,0
41.8920174,-87.62416531,25,4,5,7
41.89202838,-87.62416518,1,0,0,0
41.89202994,-87.61866336,1,0,0,0
41.8920421,-87.62416503,1,0,1,0
41.89204588,-87.61769724,1,0,0,1
41.8920689,-87.626732,1,0,0,1
41.89206992,-87.62023853,3,0,0,2
41.89208092,-87.62024208,1,0,0,0
41.89208586,-87.6144317,2,1,0,1
41.89209071,-87.62537284,1,0,1,0
41.89209325,-87.62267332,1,0,1,0
41.89211307,-87.63259694,1,0,0,0
