lat,lon,Total_Crimes,Total_Arrests,ASSAULT,BATTERY,BURGLARY,Damage,Trespass,HOMICIDE,MOTOR VEHICLE THEFT,OFFENSE INVOLVING CHILDREN,OTHER NARCOTIC VIOLATION,OTHER OFFENSE,PUBLIC PEACE VIOLATION,ROBBERY,SEX OFFENSE,STALKING,THEFT,WEAPONS VIOLATION,Summer,Winter,Spring
41.99285193,-87.70190811,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
41.99285647,-87.75158348,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41.99286769,-87.72515652,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
41.99287506,-87.70312181,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
41.99287668,-87.78754871,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41.99290547,-87.78610279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41.99291357,-87.78034942,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41.99292029,-87.71650033,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
41.99292327,-87.70190741,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
41.99293846,-87.71528623,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41.99299403,-87.74572593,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41.99300152,-87.70767832,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
41.99300308,-87.70746127,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41.9930103,-87.74141448,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
41.99301218,-87.70611114,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
41.99301404,-87.70594927,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
41.99305228,-87.7858146,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41.99306875,-87.70191333,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
41.99307217,-87.77909365,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
41.99307949,-87.78576654,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
41.99310899,-87.71180096,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
41.9931192,-87.738592,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41.99311939,-87.78035132,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41.99313112,-87.71183385,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,2,1
41.99315174,-87.77909296,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41.99315833,-87.78561137,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
41.99317222,-87.76531646,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41.99319232,-87.75559744,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
41.99322438,-87.70677856,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
41.99322802,-87.71199109,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
41.99323561,-87.78398109,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41.99324357,-87.78910898,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
41.9932459,-87.70921726,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41.99325053,-87.7790921,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
41.99325077,-87.78543032,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
